Year,Country,gdp_growth,gdp_ppp_billions,population_millions,gdp_per_capita_ppp,inflation_rate
2004,World,5.3,62608.808,6344.755,9867.305,3.8
2005,Thailand,4.2,680.779,66.017,10312.105,4.5
2005,Indonesia,5.7,1201.842,221.398,5428.429,10.5
2005,Malaysia,5,391.097,26.477,14771.244,3
2005,Philippines,4.9,350.178,85.17,4111.514,6.6
2005,Vietnam,7.5,340.4,83.833,4060.464,8.4
2005,World,4.7,67555.632,6424.531,10514.726,4
2006,Thailand,5,736.636,66.568,11065.965,4.7
2006,Indonesia,5.5,1307.057,224.555,5820.651,13.1
2006,Malaysia,5.6,425.672,26.832,15864.622,3.6
2006,Philippines,5.3,380.168,86.79,4380.317,5.4
2006,Vietnam,7,375.383,84.618,4436.226,7.5
2006,World,5.3,73243.606,6504.712,11259.511,3.9
2007,Thailand,5.4,797.715,67.102,11888.028,2.2
2007,Indonesia,6.3,1427.649,227.758,6268.284,6.3
2007,Malaysia,6.3,464.744,27.1,17149.223,2
2007,Philippines,6.5,415.923,88.39,4705.546,2.9
2007,Vietnam,7.1,413.041,85.42,4835.432,8.3
2007,World,5.4,79155.442,6586.233,12017.728,4.2
2008,Thailand,1.7,827.114,67.62,12231.823,5.5
2008,Indonesia,7.4,1563.44,231.006,6767.976,9.9
2008,Malaysia,4.8,496.587,27.6,17992.269,5.4
2008,Philippines,4.3,442.353,89.98,4916.131,8.2
2008,Vietnam,5.7,444.833,86.243,5157.883,23.1
2008,World,2.9,82947.65,6668.887,12437.444,6.3
2009,Thailand,-0.7,826.467,68.121,12132.331,-0.9
2009,Indonesia,4.7,1647.046,234.3,7029.645,4.8
2009,Malaysia,-1.5,492.086,28.082,17523.167,0.6
2009,Philippines,1.4,451.528,91.56,4931.497,4.2
2009,Vietnam,5.4,471.737,87.092,5416.516,6.7
2009,World,-0.4,82910.676,6751.225,12280.306,2.6
2010,Thailand,7.5,899.363,68.579,13114.171,3.3
2010,Indonesia,6.4,1773.382,237.641,7462.433,5.1
2010,Malaysia,7.5,535.561,28.589,18733.363,1.7
2010,Philippines,7.3,490.535,93.14,5266.646,3.7
2010,Vietnam,6.4,508.139,87.968,5776.431,10.5
2010,World,5.3,88231.333,6834.32,12910.039,3.6
2011,Thailand,0.8,925.63,69.007,13413.532,3.8
2011,Indonesia,6.2,1921.643,241.991,7940.979,5.3
2011,Malaysia,5.3,575.545,29.062,19804.053,3.2
2011,Philippines,3.9,519.973,94.7,5490.738,4.7
2011,Vietnam,6.4,551.883,87.86,6281.367,18.7
2011,World,4.1,93492.645,6900.947,13545.047,4.9
2012,Thailand,7.2,1011.155,69.436,14562.38,3
2012,Indonesia,6,2075.456,245.425,8456.574,4
2012,Malaysia,5.5,618.352,29.51,20953.965,1.7
2012,Philippines,6.9,566.184,96.25,5882.436,3.2
2012,Vietnam,5.5,593.103,88.809,6678.394,9.1
2012,World,3.4,98306.082,7002.231,14039.251,4
2013,Thailand,2.7,1056.002,69.845,15119.196,2.2
2013,Indonesia,5.6,2228.082,248.818,8954.663,6.4
2013,Malaysia,4.7,658.393,30.214,21791.221,2.1
2013,Philippines,6.8,614.692,97.79,6285.836,2.6
2013,Vietnam,5.6,636.697,89.76,7093.364,6.6
2013,World,3.4,103274.357,7090.432,14565.312,3.6
2014,Thailand,1,1084.972,70.216,15451.833,1.9
2014,Indonesia,5,2380.385,252.165,9439.798,6.4
2014,Malaysia,6,710.097,30.709,23123.793,3.1
2014,Philippines,6.3,665.098,99.31,6697.194,3.6
2014,Vietnam,6.4,689.389,90.729,7598.336,4.1
2014,World,3.6,108756.723,7192.264,15121.348,3.2
2015,Thailand,3.1,1129.36,70.541,16010.024,-0.9
2015,Indonesia,4.9,2519.629,255.182,9873.843,6.4
2015,Malaysia,5,752.573,31.186,24131.68,2.1
2015,Philippines,6.3,713.885,100.83,7080.086,0.7
2015,Vietnam,7,744.402,91.713,8116.622,0.6
2015,World,3.4,113431.333,7278.352,15584.756,2.7
2016,Thailand,3.4,1179.255,70.86,16642.08,0.2
2016,Indonesia,5,2671.59,258.497,10335.112,3.5
2016,Malaysia,4.4,793.531,31.634,25085.134,2.1
2016,Philippines,7.1,772.192,102.53,7531.381,1.2
2016,Vietnam,6.7,801.749,92.695,8649.319,2.7
2016,World,3.2,118087.305,7367.555,16028.017,2.7
2017,Thailand,4.2,1250.522,71.16,17573.34,0.7
2017,Indonesia,5.1,2857.305,261.356,10932.638,3.8
2017,Malaysia,5.8,854.694,32.023,26690.326,3.8
2017,Philippines,6.9,840.501,104.17,8068.549,2.9
2017,Vietnam,6.9,872.747,93.672,9317.097,3.5
2017,World,3.8,124734.508,7454.427,16732.943,3.3
2018,Thailand,4.2,1347.311,71.376,18876.221,1.1
2018,Indonesia,5.2,3069.919,264.162,11621.366,3.3
2018,Malaysia,4.8,914.713,32.382,28247.32,1
2018,Philippines,6.3,914.883,105.76,8650.556,5.3
2018,Vietnam,7.5,963.333,94.666,10176.123,3.5
2018,World,3.6,132684.714,7533.18,17613.374,3.6
2019,Thailand,2.1,1427.827,71.522,19963.392,0.7
2019,Indonesia,5,3266.186,266.912,12236.943,2.8
2019,Malaysia,4.4,967.568,32.523,29750.263,0.7
2019,Philippines,6.1,988.832,107.29,9216.444,2.4
2019,Vietnam,7.4,1071.756,96.484,11108.123,2.8
2019,World,3,140573.502,7613.391,18463.981,3.6
2020,Thailand,-6.1,1372.406,71.641,19156.582,-0.8
2020,Indonesia,-2.1,3223.405,270.204,11929.526,2
2020,Malaysia,-5.5,931.107,32.447,28696.233,-1.1
2020,Philippines,-9.5,923.367,109.2,8455.74,2.4
2020,Vietnam,2.9,1138.632,97.583,11668.385,3.2
2020,World,-2.7,140239.182,7686.528,18244.802,3.3
2021,Thailand,1.6,1451.544,71.727,20236.976,1.2
2021,Indonesia,3.7,3530.623,272.679,12947.903,1.6
2021,Malaysia,3.3,1022.399,32.576,31385.032,2.5
2021,Philippines,5.7,1001.825,110.08,9100.877,3.9
2021,Vietnam,2.6,1192.059,98.506,12101.363,1.8
2021,World,6.7,157084.796,7750.195,20268.496,4.7
2022,Thailand,2.7,1596.526,71.735,22255.788,6.1
2022,Indonesia,5.3,3982.44,275.72,14443.788,4.1
2022,Malaysia,9,1194.024,32.652,36568.175,3.4
2022,Philippines,7.6,1154.428,110.94,10405.881,5.8
2022,Vietnam,8.5,1385.854,99.462,13933.544,3.2
2022,World,3.8,174414.827,7813.917,22321.049,8.7
2023,Thailand,2.2,1692.686,71.702,23607.092,1.2
2023,Indonesia,5,4338.298,278.696,15566.405,3.7
2023,Malaysia,3.5,1281.999,33.059,38778.951,2.5
2023,Philippines,5.5,1263.212,111.91,11287.754,6
2023,Vietnam,5.1,1509.922,100.309,15052.708,3.3
2023,World,3.3,186756.631,7887.794,23676.662,6.7
2024,Thailand,2.9,1785.79,71.668,24917.534,0.4
2024,Indonesia,5,4669.746,281.604,16582.681,2.3
2024,Malaysia,5.1,1380.902,33.46,41269.791,1.8
2024,Philippines,5.7,1368.259,112.885,12120.826,3.2
2024,Vietnam,7,1654.976,101.3,16337.37,3.6
2024,World,3.4,197826.287,7962.742,24843.99,5.8
2025,Thailand,2.4,1880.755,71.62,26260.24,-0.1
2025,Indonesia,5.1,5047.517,284.439,17745.531,1.9
2025,Malaysia,5.2,1493.511,33.852,44118.808,1.4
2025,Philippines,4.4,1469.033,114.086,12876.576,1.7
2025,Vietnam,8,1838.398,102.3,17970.652,3.3
2025,World,3.4,210326.761,8031.129,26188.94,4.1
2026,Thailand,1.5,1963.655,71.56,27440.829,0.9
2026,Indonesia,5,5449.145,287.198,18973.452,3
2026,Malaysia,4.7,1608.504,34.234,46986.034,1.9
2026,Philippines,4.1,1572.561,115.299,13638.967,4.3
2026,Vietnam,7.1,2025.331,103.077,19648.624,4.9
2026,World,3.1,222759.639,8054.991,27654.859,4.4
2027,Thailand,2.1,2048.928,71.488,28661.088,1
2027,Indonesia,5.1,5851.128,289.88,20184.649,2.6
2027,Malaysia,4.3,1714.51,34.606,49543.675,2
2027,Philippines,5.8,1699.893,116.525,14588.171,3.2
2027,Vietnam,6.7,2208.482,103.756,21285.389,4.6
2027,World,3.2,234915.893,8124.536,28914.377,3.7
2028,Thailand,2.3,2130.29,71.407,29833.077,1.2
2028,Indonesia,5.2,6254.603,292.481,21384.652,2.5
2028,Malaysia,4.3,1817.586,34.968,51978.232,2
2028,Philippines,6.1,1832.805,117.765,15563.259,3
2028,Vietnam,6.2,2383.905,104.385,22837.619,3.7
2028,World,3.2,246434.305,8194.056,30074.764,3.4
